company_name,industry,primary_state,state_distribution,employees_au,employees_au_source,employees_global,total_income_aud,taxable_income_aud,tax_payable_aud,ato_data_source,avg_salary_override,notes,royalties_aud,prrt_aud
Woolworths Group,Retail Trade,NSW,NSW:35;VIC:25;QLD:15;WA:10;SA:7;ACT:4;TAS:3;NT:1,200000,FY2024 Annual Report,200000,65300000000,2200000000,708000000,annual_report_estimate,"Australia's largest private employer. Includes Woolworths supermarkets, BIG W, and Everyday Rewards."
Coles Group,Retail Trade,VIC,NSW:30;VIC:28;QLD:18;WA:12;SA:8;TAS:3;ACT:1,120000,FY2024 Annual Report,120000,42300000000,1680000000,578000000,annual_report_estimate,"Demerged from Wesfarmers in 2018. Includes Coles Supermarkets, Liquorland and Coles Express."
Wesfarmers,Retail Trade,WA,WA:28;NSW:22;VIC:22;QLD:14;SA:8;ACT:3;TAS:2;NT:1,115000,FY2024 Annual Report,118000,44100000000,3250000000,1060000000,annual_report_estimate,"Bunnings Warehouse (~55k employees), Kmart/Target (~38k), Officeworks (~10k), chemicals and industrial."
Australia Post,Transport Postal and Warehousing,VIC,NSW:30;VIC:28;QLD:18;WA:10;SA:8;TAS:3;ACT:2;NT:1,65000,FY2024 Annual Report,65000,8520000000,560000000,185000000,annual_report_estimate,"Government Business Enterprise. Includes Australia Post and StarTrack parcel delivery."
Qantas Airways,Transport Postal and Warehousing,NSW,NSW:45;VIC:20;QLD:18;WA:10;SA:5;ACT:1;NT:1,26000,FY2024 Annual Report,28000,19200000000,2470000000,785000000,annual_report_estimate,"Includes Qantas mainline, Jetstar and freight. Post-COVID recovery. ~2k offshore (London, USA)."
Commonwealth Bank of Australia,Finance and Insurance Services,NSW,NSW:55;VIC:20;QLD:12;WA:7;SA:4;ACT:2,52000,FY2024 Annual Report,54000,53600000000,13400000000,4020000000,annual_report_estimate,"ATO total income is gross interest income (much higher than net interest income reported in annual reports). Estimate uses approximate ATO basis."
Westpac Banking Corporation,Finance and Insurance Services,NSW,NSW:50;VIC:25;QLD:12;WA:7;SA:4;ACT:2,40000,FY2024 Annual Report,42000,42500000000,9100000000,2600000000,annual_report_estimate,"Major Australian bank. Includes BankSA, St George and Bank of Melbourne brands."
ANZ Banking Group,Finance and Insurance Services,VIC,VIC:40;NSW:35;QLD:10;WA:8;SA:5;ACT:2,38000,FY2024 Annual Report,41000,39800000000,9320000000,2680000000,annual_report_estimate,"Includes significant NZ operations and Pacific banking. Australian employee count estimated."
National Australia Bank,Finance and Insurance Services,VIC,VIC:40;NSW:35;QLD:12;WA:7;SA:4;ACT:2,35000,FY2024 Annual Report,37500,41200000000,9400000000,2720000000,annual_report_estimate,"Includes BNZ (NZ) operations. Australian employee count estimated at ~35k of ~37.5k total."
BHP Group,Mining,WA,WA:60;QLD:15;NSW:12;VIC:8;SA:5,17000,FY2024 Annual Report,80000,55200000000,18100000000,5430000000,annual_report_estimate,,"Australian operations: Pilbara iron ore, Olympic Dam, Queensland Coal. Most global employees in South America and Canada.",8000000000,400000000
